iter	RMSE
0	14.005006
1	13.14441192
2	12.34258257
3	11.64527793
4	11.02766183
5	10.43485794
6	9.890641275
7	9.492161212
8	9.105082953
9	8.674157135
10	8.341743544
11	8.049372916
12	7.757318612
13	7.522206899
14	7.297756655
15	7.088359431
16	6.882113791
17	6.704728832
18	6.563881962
19	6.418790279
20	6.315756953
21	6.210157751
22	6.115058449
23	6.014819884
24	5.93117229
25	5.844857622
26	5.771145213
27	5.704018229
28	5.665806474
29	5.616500369
30	5.558023666
31	5.510080976
32	5.468747792
33	5.429275534
34	5.402117324
35	5.367635151
36	5.345181232
37	5.319151269
38	5.296134146
39	5.269629003
40	5.251147059
41	5.248003302
42	5.232376509
43	5.213524255
44	5.189691584
45	5.166052198
46	5.140406659
47	5.118929684
48	5.108792602
49	5.098141225
50	5.085926393
51	5.067816804
52	5.049834901
53	5.03838627
54	5.033534248
55	5.023726885
56	5.01290392
57	5.005569127
58	4.989969032
59	4.976762446
60	4.967222715
61	4.954407599
62	4.942125056
63	4.930230716
64	4.921695642
65	4.906405625
66	4.894330248
67	4.88211557
68	4.877946398
69	4.863182126
70	4.84646533
71	4.838014752
72	4.82981137
73	4.817094767
74	4.808314151
75	4.796235023
76	4.784434534
77	4.774402487
78	4.76731896
79	4.75934113
80	4.754106378
81	4.744002932
82	4.731700554
83	4.723284153
84	4.712232782
85	4.703046867
86	4.698601855
87	4.692429407
88	4.675027364
89	4.662368584
90	4.646206172
91	4.641245848
92	4.633900435
93	4.624738236
94	4.612798287
95	4.605222001
96	4.601725912
97	4.59722371
98	4.580235665
99	4.57591791
